연번,호선,역명,소요시간,역간거리(km),호선별누계(km),위도,경도
223,7,노원,01:30,1.2,5.6,37.65627,127.063276
224,7,중계,01:20,1.1,6.7,37.644583,127.064303
225,7,하계,01:10,1.0,7.7,37.636352,127.06799
226,7,공릉,01:30,1.3,9.0,37.618459513199,127.075405300578
227,7,태릉입구,01:00,0.8,9.8,37.617338,127.074735
228,7,먹골,01:10,0.9,10.7,37.610637,127.077725
229,7,중화,01:20,0.9,11.6,37.602545,127.079264
230,7,상봉,01:50,1.0,12.6,37.5992960295399,127.092367383432
231,7,면목,01:10,0.8,13.4,37.588579,127.087503
232,7,사가정,01:10,0.9,14.3,37.580894,127.088478
233,7,용마산,01:10,0.8,15.1,37.573647,127.086727
234,7,중곡,01:20,0.9,16.0,37.565923,127.08432
235,7,군자,01:20,1.1,17.1,37.55715148883792,127.0795106156054
236,7,어린이대공원,01:20,1.1,18.2,37.54796087622509,127.07465525507352
237,7,건대입구,01:20,0.8,19.0,37.540373,127.069191
238,7,자양,01:30,1.0,20.0,37.54040751726388,127.06920291650827
239,7,청담,02:30,2.0,22.0,37.519365,127.05335
240,7,강남구청,01:30,1.1,23.1,37.517469,127.041151
241,7,학동,01:10,0.9,24.0,37.514229,127.031656
242,7,논현,01:20,1.0,25.0,37.511093,127.021415
243,7,반포,01:10,0.9,25.9,37.508178,127.011727
244,7,고속터미널,01:30,0.9,26.8,37.504891,127.004916
245,7,내방,02:30,2.2,29.0,37.487618,126.993513
246,7,이수,01:30,1.0,30.0,37.485196,126.981605
247,7,남성,01:20,1.0,31.0,37.484596,126.971251
248,7,숭실대입구,02:30,2.0,33.0,37.4963172817574,126.953621963422
249,7,상도,01:10,0.9,33.9,37.502834,126.94791
250,7,장승배기,02:30,0.9,34.8,37.504898,126.93915
251,7,신대방삼거리,01:50,1.2,36.0,37.499701,126.928276
252,7,보라매,01:10,0.8,36.8,37.499872,126.920428
253,7,신풍,02:20,0.9,37.7,37.50008,126.90993
254,7,대림,02:00,1.4,39.1,37.4928430008915,126.896722858042
255,7,남구로,01:30,1.1,40.2,37.486056,126.887249
256,7,가산디지털단지,01:20,0.8,41.0,37.481581,126.882581
257,7,철산,02:00,1.4,42.4,37.47605,126.867911
258,7,광명사거리,01:50,1.3,43.7,37.479252,126.854876
259,7,천왕,02:00,1.7,45.4,37.486637,126.838713
260,7,온수,02:20,1.5,46.9,37.4919675365056,126.823847928009
261,8,암사역사공원,00:00,0.0,0.0,37.55695,127.13702
262,8,암사,01:30,1.1,1.1,37.55021,127.127562
263,8,천호,01:30,1.3,2.4,37.5385112120297,127.12392845044
264,8,강동구청,01:20,0.9,3.3,37.530341,127.120508
265,8,몽촌토성,02:00,1.6,4.9,37.5178055794687,127.11286534895456
266,8,잠실,01:10,0.8,5.7,37.5116263587296,127.086314327913
267,8,석촌,01:50,1.2,6.9,37.505557,127.106832
268,8,송파,01:10,0.9,7.8,37.499703,127.112183
269,8,가락시장,01:10,0.8,8.6,37.492245,127.117757
270,8,문정,01:10,0.9,9.5,37.485855,127.1225
271,8,장지,01:10,0.9,10.4,37.478703,127.126191
272,8,복정,01:10,0.9,11.3,37.470345,127.126658
273,8,남위례,01:50,1.5,12.8,37.4624,127.13977
274,8,산성,01:40,1.2,14.0,37.457122,127.149908
275,8,남한산성입구,02:10,1.3,15.3,37.4516686968693,127.159882577768
276,8,단대오거리,01:10,0.8,16.1,37.44521,127.156866
277,8,신흥,01:10,0.8,16.9,37.440918,127.147564
278,8,수진,01:10,0.9,17.8,37.437428,127.140722
279,8,모란,01:30,1.0,18.8,37.432052,127.129104
