전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),위도,경도
1917,청산,Cheongsan,01호선,100-1,?山,チョンサン,37.9950890028797,127.074273958107
1907,가능,Ganeung,01호선,109,佳陵,カヌン,37.7483963196456,127.044288264841
1902,도봉,Dobong,01호선,114,道峰,トボン,37.6485426057036,127.03465609756
1801,개봉,Gaebong,01호선,143,?峰,ケボン,37.4946417150651,126.858715959622
1901,방학,Banghak,01호선,115,放?,パンハク,37.6674383662755,127.044321721307
1918,전곡,Jeongok,01호선,100-2,全谷,チョンゴク,38.0244410116172,127.071725088088
1916,소요산,Soyosan,01호선,100,逍?山,ソヨサン,37.9488975919392,127.061128608638
1913,동두천중앙,Dongducheon  jungang,01호선,103,?豆川中央,トンドゥチョン·チュンアン,37.9017807357936,127.05642330094
1719,오산,Osan,01호선,P160,?山,オサン,37.1447171633287,127.066630122646
1749,서동탄,Seodongtan,01호선,P157-1,西??,ソドンタン,37.1957351505295,127.051856779194
1816,간석,Ganseok,01호선,155,?石,カンソク,37.4670826685298,126.707918490817
1814,소사,Sosa,01호선,147,素砂,ソサ,37.48764140324914,126.75315944764172
1017,신이문,Sinimun,01호선,121,新里?,シニムン,37.6017816437084,127.067398003775
1812,인천,Incheon,01호선,161,仁川,インチョン,37.46505238644672,126.67996793218974
1805,송내,Songnae,01호선,150,松?,ソンネ,37.48764140324914,126.75315944764172
1712,화서,Hwaseo,01호선,P154,?西,ファソ,37.2840016829776,126.9896120326472
1709,군포,Gunpo,01호선,P150,?浦,クンポ,37.37246820714397,126.94347315682283
1911,덕정,Deokjeong,01호선,105,德亭,トクチョン,37.8431876500694,127.06155932141
1914,보산,Bosan,01호선,102,保山,ポサン,37.914144018035586,127.0571810247491
1821,온수,Onsu,01호선,145,?水,オンス,37.4919675365056,126.823847928009
1815,부개,Bugae,01호선,151,富?,プゲ,37.488477043182,126.740730089704
1802,오류동,Oryu-dong,01호선,144,梧柳洞,オリュドン,37.49439720933549,126.84480744815397
1726,직산,Jiksan,01호선,P167,稷山,チッサン,36.8709328418739,127.143823728817
1705,관악,Gwanak,01호선,P146,冠岳,クァナク,37.4770932409965,126.963523905001
1720,진위,Jinwi,01호선,P161,振威,チヌィ,37.1100790285838,127.062355993621
1728,천안,Cheonan,01호선,P169,天安,チョナン,36.833981274461074,127.14894257701431
1018,석계,Seokgye,01호선,120,石溪,ソッケ,37.61500552731744,127.06568946412851
1717,세마,Sema,01호선,P158,洗?,セマ,37.1871352848477,127.043426817312
1903,도봉산,Dobongsan,01호선,113,道峰山,トボンサン,37.68951167833238,127.04606271663916
1813,구일,Guil,01호선,142,九一,クイル,37.496254517687,126.86969110539
1405,배방,Baebang,01호선,P174,排芳,ペバン,36.7776965014173,127.052788090648
1722,서정리,Seojeong-ri,01호선,P163,西井里,ソジョンニ,37.0565637021655,127.052881703722
1721,송탄,Songtan,01호선,P162,松炭,ソンタン,37.0757126572027,127.05428046136659
1727,두정,Dujeong,01호선,P168,斗井,トゥジョン,36.833981274461074,127.14894257701431
0203,을지로3가,Euljiro 3(sam)-ga,02호선,203,乙支路三街,ウルチロサムガ,37.56629149790628,126.99098443539428
0211,성수,Seongsu,02호선,211,?水,ソンス,37.547241554679,127.04738727881
0226,사당,Sadang,02호선,226,舍堂,サダン,37.47656223234824,126.98155858357366
0202,을지로입구,Euljiro 1(il)-ga,02호선,202,乙支路入口,ウルチロイック,37.566035517712955,126.9821953112953
0224,서초,Seocho,02호선,224,瑞草,ソチョ,37.4927431676548,127.013867969161
0235,문래,Mullae,02호선,235,文來,ムンレ,37.5179757181801,126.894778820701
0245,신답,Sindap,02호선,211-2,新踏,シンダプ,37.5698386846442,127.047080117369
0219,삼성,Samseong,02호선,219,三成(?展中心),サムソン(三成),37.508822740225305,127.06302321147605
0231,신대방,Sindaebang,02호선,231,新大方,シンデバン,37.48765046104574,126.91350747615147
0236,영등포구청,Yeongdeungpo-gu Office,02호선,236,永登浦??,ヨンドゥンポグチョン,37.5258305311402,126.89667739939
0248,양천구청,Yangcheon-gu Office,02호선,234-2,?川??,ヤンチョングチョン,37.5123888716808,126.865722369229
0210,뚝섬,Ttukseom,02호선,210,纛?,トゥッソム,37.547241554679,127.04738727881
0204,을지로4가,Euljiro 4(sa)-ga,02호선,204,乙支路四街,ウルチロサガ,37.5666405038268,126.997632059113
0229,봉천,Bongcheon,02호선,229,奉天,ポンチョン,37.4770932409965,126.963523905001
0243,충정로,Chungjeongno,02호선,243,忠正路(京畿大?),チュンジョンノ,37.56042867918723,126.96303964820936
0230,신림,Sillim,02호선,230,新林,シンリム,37.484267135140364,126.9297453749671
0223,교대,Seoul Nat`l Univ. of Education,02호선,223,首??育大?,キョデ,37.4927431676548,127.013867969161
0209,한양대,Hanyang Univ.,02호선,209,??大?,ハニャンデ,37.5557159860408,127.043639802768
0228,서울대입구,Seoul Nat`l Univ.,02호선,228,首?大?(冠岳??),ソウルデイック,37.4812845080678,126.952713197762
0222,강남,Gangnam,02호선,222,江南,カンナム,37.49808633653005,127.02800140627488
0238,합정,Hapjeong,02호선,238,合井,ハプチョン,37.54991315995173,126.91445406513526
0221,역삼,Yeoksam,02호선,221,?三,ヨッサム,37.49808633653005,127.02800140627488
0220,선릉,Seolleung,02호선,220,宣陵,ソンルン,37.504497373023206,127.04896282498558
0216,잠실,Jamsil,02호선,216,쒧室(松坡??),チャムシル,37.5116263587296,127.086314327913
0215,잠실나루,Jamsillaru,02호선,215,쒧室渡口,チャムシルナル,37.5207124124456,127.103808749487
0214,강변,Gangbyeon,02호선,214,江?(?首?客?站),カンビョン,37.5351180385975,127.094741101863
0207,상왕십리,Sangwangsimni,02호선,207,上往十里,サンワンシムニ,,
0206,신당,Sindang,02호선,206,新堂,シンダン,37.5545053994984,127.010891666957
0249,신정네거리,Sinjeongnegeori,02호선,234-3,新亭十字路口,シンジョンネゴリ,37.5202231231721,126.852889567642
0205,동대문역사문화공원,Dongdaemun History  Culture Park,02호선,205,?大??史文化公?(DDP),トンデムンヨクサムンファゴンウォン(DDP),37.56566440553802,127.00900417014896
0201,시청,City Hall,02호선,201,市廳,シチョン,37.56534539636417,126.97719821079865
0200,까치산,Kkachisan,02호선,234-4,喜?山,カチサン,37.5322306724471,126.846444264065
0247,도림천,Dorimcheon,02호선,234-1,道林川,トリムチョン,37.5145080414761,126.882649092584
0244,용답,Yongdap,02호선,211-1,?踏,ヨンダプ,37.5616038910656,127.06370373106944
0233,대림,Daerim,02호선,233,大林(九老??),テリム,37.4928430008915,126.896722858042
0246,신설동,Sinseol-dong,02호선,211-4,新設洞,シンソルトン,37.5760299683175,127.024456700382
0234,신도림,Sindorim,02호선,234,新道林,シンドリム,37.508908482648,126.891312500851
0242,아현,Ahyeon,02호선,242,阿?,アヒョン,37.5445416897534,126.951451177648
0241,이대,Ewha Womans Univ.,02호선,241,梨花女子大?,イデ,37.556814718869,126.94642954546576
0217,잠실새내,Jamsilsaenae,02호선,217,쒧室新川,チャムシルセネ,37.5116263587296,127.086314327913
0240,신촌,Sinchon,02호선,240,新村,シンチョン(新村),37.555198169366435,126.93698075993808
0239,홍대입구,Hongik Univ.,02호선,239,弘益大?,ホンデイック,37.5568707448873,126.923778562273
0232,구로디지털단지,Guro Digital Complex,02호선,232,九老????,クロ·デジタルダンジ,37.4852605752505,126.901473080039
0208,왕십리,Wangsimni,02호선,208,往十里,ワンシムニ,37.561268363317176,127.03710337610202
0250,용두,Yongdu,02호선,211-3,??(?大???),ヨンドゥ,37.5740621283646,127.038275698211
0237,당산,Dangsan,02호선,237,堂山,タンサン,37.5347843171332,126.902611795523
0213,구의,Guui,02호선,213,九宜,クイ,37.5351180385975,127.094741101863
0212,건대입구,Konkuk Univ.,02호선,212,建?大?,コンデイック,37.54040751726388,127.06920291650829
0218,종합운동장,Sports Complex,02호선,218,?合???,チョンハブンドンジャン,37.5111446632705,127.073849447402
0227,낙성대,Nakseongdae,02호선,227,落星垈,ナクソンデ,37.4770932409965,126.963523905001
0225,방배,Bangbae,02호선,225,方背,パンベ,37.4867995957995,126.982211871752
1948,원흥,Wonheung,03호선,317,元興,ウォンフン,37.6506921774602,126.87302523491
1955,마두,Madu,03호선,312,馬頭,馬頭,37.659480619983,126.773405960872
0318,안국,Anguk,03호선,328,安?,アングク,37.57650192060523,126.98542143228659
0321,충무로,Chungmuro,03호선,331,忠武路,チュンムロ,37.56139658395457,126.99414960395544
0320,을지로3가,Euljiro 3(sam)-ga,03호선,330,乙支路三街,ウルチロサムガ,37.56629149790628,126.99098443539428
0333,매봉,Maebong,03호선,343,梅峰,メボン,37.4869394661317,127.046711448388
0322,동대입구,Dongguk Univ.,03호선,332,??大?,トンデイック,37.55905581925076,127.00531600900922
0335,대치,Daechi,03호선,345,大峙,テチ,37.4962857047653,127.052909749417
0336,학여울,Hangnyeoul,03호선,346,??,ハンニョウル,37.4968851977644,127.071166599707
0325,옥수,Oksu,03호선,335,玉水,オクス,37.5415662783673,127.017393782846
0326,압구정,Apgujeong,03호선,336,狎?亭,アックジョン,37.52649127416921,127.02850865895756
0319,종로3가,Jongno 3(sam)-ga,03호선,329,?路三街,チョンノサムガ,37.570420844523,126.992153252476
0327,신사,Sinsa,03호선,337,新沙,シンサ,37.51643597531432,127.02030856272764
0341,경찰병원,National Police Hospital,03호선,351,警察?院,キョンチャル·ピョンウォン,37.4960049150853,127.124482397777
0328,잠원,Jamwon,03호선,338,쒧院,チャムォン,37.5081614290284,127.011586161943
0337,대청,Daecheong,03호선,347,大?,テチョン,37.49370832148055,127.07952812085006
0342,오금,Ogeum,03호선,352,梧琴,オグム,37.5021388575469,127.127953219596
0329,고속터미널,Express Bus Terminal,03호선,339,高速巴士客?站,コソクタ?ミナル,37.50454885557265,127.00512100872538
0330,교대,Seoul Nat`l Univ. of Education,03호선,340,首??育大?,キョデ?,37.4927431676548,127.013867969161
0331,남부터미널,Nambu Bus Terminal,03호선,341,南部客?站,ナンブタ?ミナル,37.4851996335293,127.01620028391
0338,일원,Irwon,03호선,348,逸院,イルォン,37.4839886684666,127.084129757128
0339,수서,Suseo,03호선,349,水西,スソ,37.487459640349336,127.10205874359781
0340,가락시장,Garak Market,03호선,350,可?市?,カラク·シジャン,37.4930992522183,127.118262745146
0309,지축,Jichuk,03호선,319,?杻,チチュク,37.6481486423031,126.913854269202
0310,구파발,Gupabal,03호선,320,?把?,クパバル,37.6364357889145,126.918852820009
0311,연신내,Yeonsinnae,03호선,321,延新川,ヨンシンネ,37.6192032466353,126.921100704496
0312,불광,Bulgwang,03호선,322,佛光,プルグァン,37.6192032466353,126.921100704496
0313,녹번,Nokbeon,03호선,323,碌磻,ノッポン,37.6008067681825,126.935828008217
0314,홍제,Hongje,03호선,324,弘?,ホンジェ,37.5887953806088,126.944158007985
0315,무악재,Muakjae,03호선,325,毋岳?,ムアクチェ,37.5825632263526,126.950230954136
0316,독립문,Dongnimmun,03호선,326,?立?,トンニンムン,37.57446627898665,126.95791371132584
0317,경복궁,Gyeongbokgung,03호선,327,景福?(政府首??舍),キョンボックン,37.5758061234865,126.973691352767
0324,금호,Geumho,03호선,334,金湖,クムホ,37.548260922874086,127.01582916945283
1958,대화,Daehwa,03호선,309,大化,大化,37.676157377075,126.747500970967
1952,화정,Hwajeong,03호선,315,花井,花井,37.6346440058753,126.832688422366
0323,약수,Yaksu,03호선,333,?水,ヤクス,37.5545053994984,127.010891666957
0334,도곡,Dogok,03호선,344,道谷,トゴク,37.48457681195669,127.03416413380752
0332,양재,Yangjae,03호선,342,良才(瑞草??),ヤンジェ,37.4834655780476,127.035154074503
1950,삼송,Samsong,03호선,318,三松,三松,37.65326511526386,126.89573389994084
1954,백석,Baekseok,03호선,313,白石,白石,37.6429623651607,126.788131509803
1957,주엽,Juyeop,03호선,310,注葉,注葉,37.6701494878278,126.761263524195
